Provincia,Canton,Distrito,Acumulados,Recuperados,Fallecidos,Activos
SAN JOSE,ACOSTA,Cangrejal,1,1,0,0
SAN JOSE,ACOSTA,Guaitil,2,0,0,2
SAN JOSE,ACOSTA,Palmichal,5,0,0,5
SAN JOSE,ACOSTA,Sabanillas,1,0,0,1
SAN JOSE,ACOSTA,San Ignacio,17,0,0,17
SAN JOSE,ACOSTA,Sin informacion de distrito,1,0,0,1
SAN JOSE,Alajuelita,,477,77,2,398
SAN JOSE,Alajuelita,Alajuelita,91,26,1,64
SAN JOSE,Alajuelita,Concepcion,109,14,0,95
SAN JOSE,Alajuelita,San Antonio,26,2,0,24
SAN JOSE,Alajuelita,San Felipe,190,23,1,166
SAN JOSE,Alajuelita,SAN JOSEcito,55,10,0,45
SAN JOSE,Alajuelita,Sin informacion de distrito,6,2,0,4
SAN JOSE,Aserri,,101,34,0,67
SAN JOSE,Aserri,Aserri,69,27,0,42
SAN JOSE,Aserri,Legua,0,0,0,0
SAN JOSE,Aserri,Monterrey,1,0,0,1
SAN JOSE,Aserri,Salitrillos,12,1,0,11
SAN JOSE,Aserri,San Gabriel,3,0,0,3
SAN JOSE,Aserri,Tarbaca,2,0,0,2
SAN JOSE,Aserri,Vuelta de Jorco,6,0,0,6
SAN JOSE,Aserri,Sin informacion de distrito,8,6,0,2
SAN JOSE,Curridabat,,157,44,0,113
SAN JOSE,Curridabat,Curridabat,70,19,0,51
SAN JOSE,Curridabat,Granadilla,35,13,0,22
SAN JOSE,Curridabat,Sanchez,5,3,0,2
SAN JOSE,Curridabat,Tirrases,46,9,0,37
SAN JOSE,Curridabat,Sin informacion de distrito,1,0,0,1
SAN JOSE,Desamparados,,576,118,3,455
SAN JOSE,Desamparados,Damas,23,4,1,18
SAN JOSE,Desamparados,Desamparados,121,29,0,92
SAN JOSE,Desamparados,Frailes,2,0,0,2
SAN JOSE,Desamparados,Gravilias,32,6,0,26
SAN JOSE,Desamparados,Los Guido,76,8,0,68
SAN JOSE,Desamparados,Patarra,33,13,0,20
SAN JOSE,Desamparados,Rosario,3,0,0,3
SAN JOSE,Desamparados,San Antonio,10,4,0,6
SAN JOSE,Desamparados,San Cristobal,0,0,0,0
SAN JOSE,Desamparados,San Juan de Dios,55,15,0,40
SAN JOSE,Desamparados,San Miguel,61,9,1,51
SAN JOSE,Desamparados,San Rafael Abajo,116,18,1,97
SAN JOSE,Desamparados,San Rafael Arriba,28,7,0,21
SAN JOSE,Desamparados,Sin informacion de distrito,16,5,0,11
SAN JOSE,Dota,,0,0,0,0
SAN JOSE,Dota,Copey,0,0,0,0
SAN JOSE,Dota,Jardin,0,0,0,0
SAN JOSE,Dota,Santa Maria,0,0,0,0
SAN JOSE,Dota,Sin informacion de distrito,0,0,0,0
SAN JOSE,Escazu,,163,51,1,111
SAN JOSE,Escazu,Escazu,50,13,1,36
SAN JOSE,Escazu,San Antonio,32,4,0,28
SAN JOSE,Escazu,San Rafael,79,33,0,46
SAN JOSE,Escazu,Sin informacion de distrito,2,1,0,1
SAN JOSE,Goicoechea,,225,62,0,163
SAN JOSE,Goicoechea,Calle Blancos,32,5,0,27
SAN JOSE,Goicoechea,Guadalupe,37,11,0,26
SAN JOSE,Goicoechea,Ipis,39,21,0,18
SAN JOSE,Goicoechea,Mata de Platano,25,2,0,23
SAN JOSE,Goicoechea,Purral,80,16,0,64
SAN JOSE,Goicoechea,Rancho Redondo,3,2,0,1
SAN JOSE,Goicoechea,San Francisco,5,1,0,4
